Clndrs,Volume,Lbs-,Acc+,Model,origin,Mpg+
8,304.0,4732,18.5,70,1,10
8,360,4615,14,70,1,10
8,307,4376,15,70,1,10
8,318,4382,13.5,70,1,10
8,429,4633,11,72,1,10
8,400,4997,14,73,1,10
8,350,3664,11,73,1,10
8,383,4955,11.5,71,1,10
8,350,4456,13.5,72,1,10
8,429,4952,11.5,73,1,10
8,455,4951,11,73,1,10
8,400,4906,12.5,73,1,10
8,350,4499,12.5,73,1,10
8,400,4746,12,71,1,10
8,400,5140,12,71,1,10
8,350,4274,12,72,1,10
8,350,4502,13.5,72,1,10
8,400,4422,12.5,72,1,10
8,307,4098,14,72,1,10
8,302,4294,16,72,1,10
8,350,4100,13,73,1,10
8,350,3988,13,73,1,10
8,400,4464,12,73,1,10
8,351,4363,13,73,1,10
8,440,4735,11,73,1,10
8,360,3821,11,73,1,10
8,360,4654,13,73,1,10
8,350,4699,14.5,74,1,10
8,302,3169,12,75,1,10
8,318,3940,13.2,76,1,10
8,350,4055,12,76,1,10
8,302,3870,15,76,1,10
8,318,3755,14,76,1,10
8,454,4354,9,70,1,10
8,440,4312,8.5,70,1,10
8,455,4425,10,70,1,10
8,340,3609,8,70,1,10
8,455,3086,10,70,1,10
8,350,4209,12,71,1,10
8,400,4464,11.5,71,1,10
8,351,4154,13.5,71,1,10
8,318,4096,13,71,1,10
8,400,4385,12,72,1,10
8,351,4129,13,72,1,10
8,318,4077,14,72,1,10
8,304,3672,11.5,73,1,10
8,302,4042,14.5,73,1,10
8,318,4237,14.5,73,1,10
8,318,4457,13.5,74,1,10
8,302,4638,16,74,1,10
8,304,4257,15.5,74,1,10
8,351,4657,13.5,75,1,10
8,351,4215,12.8,76,1,10
8,350,3693,11.5,70,1,20
8,429,4341,10,70,1,20
8,390,3850,8.5,70,1,20
8,383,3563,10,70,1,20
8,400,3761,9.5,70,1,20
8,318,4135,13.5,72,1,20
8,304,3892,12.5,72,1,20
8,318,3777,12.5,73,1,20
8,350,4082,13,73,1,20
8,318,3399,11,73,1,20
6,250,3336,17,74,1,20
6,250,3432,21,75,1,20
6,250,3158,19.5,75,1,20
8,350,4440,14,75,1,20
6,258,3730,19,75,1,20
8,302,4295,14.9,77,1,20
8,304,3962,13.9,76,1,20
8,318,4140,13.7,77,1,20
8,350,4165,11.4,77,1,20
8,400,4325,12.2,77,1,20
8,351,4054,14.3,79,1,20
8,304,3433,12,70,1,20
6,225,3439,15.5,71,1,20
6,250,3278,18,73,1,20
8,400,4278,9.5,73,1,20
6,250,3781,17,74,1,20
6,258,3632,18,74,1,20
8,302,4141,14,74,1,20
8,400,4668,11.5,75,1,20
8,318,4498,14.5,75,1,20
6,250,3897,18.5,75,1,20
8,318,4190,13,76,1,20
8,400,4220,11.1,77,1,20
8,351,4335,14.5,77,1,20
6,163,3410,15.8,78,2,20
6,168,3820,16.7,76,2,20
8,350,4380,12.1,76,1,20
8,351,3955,13.2,79,1,20
8,350,4360,14.9,79,1,20
8,302,3449,10.5,70,1,20
6,250,3329,15.5,71,1,20
8,304,3672,11.5,72,1,20
6,231,3907,21,75,1,20
8,260,4060,19,77,1,20
6,163,3140,13.6,78,2,20
8,305,3840,15.4,79,1,20
8,305,4215,13,76,1,20
6,258,3193,17.8,76,1,20
8,305,3880,12.5,77,1,20
6,250,3520,16.4,77,1,20
8,318,4080,13.7,78,1,20
