prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
0,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,25.9,117.6,808,15.3
0,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,24.6,117.6,767,15
0,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,7.7,31.2,240,10.1
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,8.2,36,256,10.4
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,9.7,25.2,302,11
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,2.2,8.4,69,6.6
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,3.5,10.8,109,7.8
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,66.6,352.8,2077,21
1,1,1,2,1,1,3,1,4,4,5,5,3,1,1,4,1,4,1,1,4,4,7.5,72,226,13.6
1,1,1,2,4,4,3,1,4,4,4,4,3,1,2,4,2,4,1,4,4,4,20,72,566,14.4
1,1,1,2,4,4,3,1,4,4,4,4,3,1,1,4,2,4,1,4,4,4,6,24,188,9.9
1,1,1,2,4,4,3,1,4,4,4,4,3,1,2,4,2,4,1,4,4,4,100,360,2832,25.2
1,1,1,2,4,4,3,1,4,4,4,4,3,1,4,4,2,4,3,4,4,4,11.3,36,456,12.8
1,1,1,2,4,4,3,1,4,4,4,4,1,1,1,4,1,3,6,4,4,4,100,215,5434,30.1
1,1,1,2,4,4,3,1,4,4,4,4,3,1,1,4,2,4,1,4,4,4,20,48,626,15.1
1,1,1,2,4,4,3,1,4,4,4,4,3,1,4,4,4,4,6,4,4,4,100,360,4342,28
1,1,1,2,4,4,3,1,4,4,4,5,3,1,2,4,2,4,1,4,4,4,150,324,4868,32.5
1,1,1,2,4,4,3,1,4,4,4,4,3,1,1,4,1,4,1,4,4,4,31.5,60,986,17.6
1,1,1,2,4,4,3,1,4,4,4,4,3,1,1,4,2,4,1,4,4,4,15,48,470,13.6
1,1,1,2,4,4,3,1,4,4,4,5,3,1,4,4,1,4,1,4,4,4,32.5,60,1276,20.8
1,1,1,2,1,1,3,1,4,4,4,4,3,4,4,4,4,4,1,4,4,3,19.7,60,614,13.9
